Precinct,ResultType,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Muscatine 06th,SDE,0.0,0.0,0.0,0.8333,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Muscatine 08th,First,0,7,0,8,0,0,0,0,17,0,6,4,0,0
Muscatine 08th,Final,0,10,0,8,0,0,0,0,23,0,0,1,0,0
Muscatine 08th,SDE,0.0,0.3333,0.0,0.1667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Muscatine 09th,First,0,26,0,42,0,0,0,0,44,0,0,0,0,0
Muscatine 09th,Final,0,26,0,42,0,0,0,0,44,0,0,0,0,0
Muscatine 09th,SDE,0.0,0.3333,0.0,0.5,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0
Orono-City,First,0,2,0,1,0,0,2,0,4,1,3,0,0,1
Orono-City,Final,0,2,0,1,0,0,2,0,1,3,0,0,0,1
Orono-City,SDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0
Goshen-City,First,0,2,0,3,0,1,1,0,14,0,10,2,0,0
Goshen-City,Final,0,0,0,0,0,0,0,0,17,0,15,0,0,0
Goshen-City,SDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0
Seventy-Six/Cedar-Seventy,First,0,3,0,6,0,0,6,0,0,3,7,0,1,1
Seventy-Six/Cedar-Seventy,Final,0,0,0,11,0,0,7,0,0,0,8,0,0,0
Seventy-Six/Cedar-Seventy,SDE,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.0,0.0,0.0,0.1667,0.0,0.0,0.0
Fruitland Two/Lake-Fruitl,First,0,0,0,13,0,0,6,0,0,0,5,0,0,0
Fruitland Two/Lake-Fruitl,Final,0,0,0,16,0,0,7,0,0,0,7,0,0,0
Fruitland Two/Lake-Fruitl,SDE,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.0,0.0,0.0,0.1667,0.0,0.0,0.0
Wilton/Moscow-Wilton,First,0,3,0,5,0,0,2,0,5,1,7,0,0,0
Wilton/Moscow-Wilton,Final,0,0,0,7,0,0,0,0,5,0,11,0,0,0
Wilton/Moscow-Wilton,SDE,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0
Fulton/Montpelier-City,First,0,15,0,10,0,0,0,0,11,0,10,3,0,0
Fulton/Montpelier-City,Final,0,15,0,10,0,0,0,0,11,0,10,0,0,0
Fulton/Montpelier-City,SDE,0.0,0.3333,0.0,0.1667,0.0,0.0,0.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0
Sweetland,First,0,16,0,15,0,0,12,0,13,7,13,3,0,2
Sweetland,Final,0,16,0,17,0,0,20,0,15,0,13,0,0,0
Sweetland,SDE,0.0,0.1667,0.0,0.1667,0.0,0.0,0.3333,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0
Muscatine 04th,First,0,0,0,26,0,0,0,0,37,0,12,0,0,0
Muscatine 04th,Final,0,0,0,26,0,0,0,0,37,0,12,0,0,0
Muscatine 04th,SDE,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.6667,0.0,0.1667,0.0,0.0,0.0
Muscatine 05th,First,0,12,0,7,0,2,0,0,30,2,9,7,0,5
Muscatine 05th,Final,0,12,0,0,0,0,0,0,33,0,12,12,0,0
Muscatine 05th,SDE,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1667,0.1667,0.0,0.0
Muscatine 07th,First,0,11,0,10,0,0,2,0,27,0,10,1,0,0
Muscatine 07th,Final,0,13,0,10,0,0,0,0,27,0,10,0,0,0
Muscatine 07th,SDE,0.0,0.3333,0.0,0.1667,0.0,0.0,0.0,0.0,0.5,0.0,0.1667,0.0,0.0,0.0
Muscatine 02nd,First,0,13,0,39,0,0,8,0,22,0,17,0,0,1
Muscatine 02nd,Final,0,17,0,43,0,0,0,0,22,0,17,0,0,0
Muscatine 02nd,SDE,0.0,0.3333,0.0,0.5,0.0,0.0,0.0,0.0,0.3333,0.0,0.1667,0.0,0.0,0.0
Bloomington,First,0,20,0,44,0,0,24,0,20,0,17,6,0,1
Bloomington,Final,0,20,0,44,0,0,24,0,21,0,21,0,0,0
Bloomington,SDE,0.0,0.1667,0.0,0.5,0.0,0.0,0.3333,0.0,0.3333,0.0,0.1667,0.0,0.0,0.0
Carroll-Floyd,First,0,5,0,0,0,0,6,0,0,0,6,0,0,0
Carroll-Floyd,Final,0,5,0,0,0,0,6,0,0,0,6,0,0,0
Carroll-Floyd,SDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0727,0.0,0.0,0.0,0.0727,0.0,0.0,0.0
Sheldon 2nd Ward,First,0,1,0,6,0,0,5,0,8,2,8,0,0,0
Sheldon 2nd Ward,Final,0,0,0,6,0,0,5,0,8,0,10,0,0,0
Sheldon 2nd Ward,SDE,0.0,0.0,0.0,0.0727,0.0,0.0,0.0727,0.0,0.0727,0.0,0.1455,0.0,0.0,0.0
Sheldon 3rd Ward,First,0,6,0,5,0,0,5,0,4,0,7,0,0,0
Sheldon 3rd Ward,Final,0,6,0,5,0,0,5,0,4,0,7,0,0,0
Sheldon 3rd Ward,SDE,0.0,0.0727,0.0,0.0727,0.0,0.0,0.0727,0.0,0.0727,0.0,0.0727,0.0,0.0,0.0
Waterman-Grant-Liberty,First,0,2,0,7,0,0,3,0,4,0,7,0,0,0
Waterman-Grant-Liberty,Final,0,0,0,7,0,0,4,0,4,0,8,0,0,0
Waterman-Grant-Liberty,SDE,0.0,0.0,0.0,0.1455,0.0,0.0,0.0727,0.0,0.0727,0.0,0.1455,0.0,0.0,0.0
Franklin,First,0,1,0,1,0,0,8,0,4,0,0,3,0,1
Franklin,Final,0,0,0,0,0,0,8,0,4,3,0,3,0,0
Franklin,SDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0727,0.0,0.0727,0.0727,0.0,0.0727,0.0,0.0
Sheldon 1st Ward,First,0,5,0,4,0,0,7,0,8,0,0,0,0,0
Sheldon 1st Ward,Final,0,5,0,4,0,0,7,0,8,0,0,0,0,0
Sheldon 1st Ward,SDE,0.0,0.1455,0.0,0.0727,0.0,0.0,0.1455,0.0,0.1455,0.0,0.0,0.0,0.0,0.0
Union-Baker-Caledonia,First,0,8,0,10,0,0,7,0,4,0,5,0,0,0
Union-Baker-Caledonia,Final,0,8,0,10,0,0,7,0,0,0,0,0,0,9
Union-Baker-Caledonia,SDE,0.0,0.1455,0.0,0.1455,0.0,0.0,0.0727,0.0,0.0,0.0,0.0,0.0,0.0,0.1455
Summit-Center-Dale-Highland,First,0,12,0,7,0,0,11,0,0,0,5,0,0,1
Summit-Center-Dale-Highland,Final,0,12,0,11,0,0,12,0,0,0,0,0,1,0
Summit-Center-Dale-Highland,SDE,0.0,0.2182,0.0,0.1455,0.0,0.0,0.2182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hartley-Lincoln-Omega,First,0,14,0,6,0,0,5,0,9,2,3,0,0,0
Hartley-Lincoln-Omega,Final,0,15,0,7,0,0,0,0,11,6,0,0,0,0
Hartley-Lincoln-Omega,SDE,0.0,0.2909,0.0,0.1455,0.0,0.0,0.0,0.0,0.2182,0.1455,0.0,0.0,0.0,0.0
Harris Precinct 0200,First,0,1,0,2,0,0,0,0,1,0,1,0,0,0
Harris Precinct 0200,Final,0,0,0,4,0,0,0,0,0,0,1,0,0,0
Harris Precinct 0200,SDE,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melvin Precinct 0400,First,0,0,0,0,0,0,2,0,2,0,0,0,0,0
Melvin Precinct 0400,Final,0,0,0,0,0,0,2,0,2,0,0,0,0,0
Melvin Precinct 0400,SDE,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Ashton Precinct 0100,First,0,4,0,2,0,0,1,0,0,0,1,0,0,0
Ashton Precinct 0100,Final,0,4,0,2,0,0,2,0,0,0,0,0,0,0
